# Generated from Rime Essay. Do not edit manually.
# context<TAB>completion<TAB>weight...
〇	〇	658	九	616	八	573	六	505	七	493	一	488	四	485	二	471	五	470	三	437
䰾	魚	332
一	個	635391	些	260081	樣	175106	下	161487	般	138040	種	114649	點	102014	直	85173	次	73331	定要	68928
一一	對應	829	映射	316	列舉	315	九	299	比對	22
一一列	舉	315
一一對	應	829
一一映	射	316
一一比	對	22
一丁	點	1465	點兒	546	不識	409	半點	24
一丁不	識	409
一丁半	點	24
一丁點	兒	546
一丈	青	12
一上	來	2826	午	853	場	511	臺	509	去	486	手	174	車	131	班	83	網	17	一下	1
一上一	下	1
一下	子	7466	吧	2599	就	2554	午	1626	下	900	來	536	去	532	嗎	466	兒	441	場	434
一下飛	機	93
一不	小心	3103	留神	519	做	513	做二不休	489	注意	470	一樣	41	偷	12
一不一	樣	41
一不做	二不休	489
一不做二	不休	489
一不做二不	休	489
一不小	心	3103
一不注	意	470
一不留	神	519
一世	紀	552	英名	495	界	41
一世英	名	495
一丘	之貉	483
一丘之	貉	483
一丟	丟	2017
一中	一臺	356	原則	352	院	59	隊	18
一中一	臺	356
一中原	則	352
一串	串	725	紅	307	一串	35
一串一	串	35
一九	八	713	七	671	四	662	九九	560	九八	559	九七	554	九五	538	九六	538	九四	532	四九	530
一九七	八年	12
一九七八	年	12
一九九	九	560	八	559	七	554	五	538	六	538	四	532	三	529	二	529	一	500
一九八	四	41
一九四	九	530	九年	512
一九四九	年	512
一乾	二淨	765	而盡	376
一乾二	淨	765
一乾而	盡	376
一了	百了	539	心願	300	百當	201
一了心	願	300
一了百	了	539	當	201
一事	無成	800	一議	32	不再理	14
一事一	議	32
一事不	再理	14
一事不再	理	14
一事無	成	800
一二	三	621	九運動	403	八事變	335	三四	264	級	253	百	113	本	64	一	23	樓	23	十分	18
一二三	四	264	四五六七	26
一二三四	五六七	26
一二三四五	六七	26
一二三四五六	七	26
一二九	運動	403
一二九運	動	403
一二八	事變	335
一二八事	變	335
一二十	分	18
一五	一十	562
一五一	十	562
一些	人	5437	問題	3362	東西	2467	事情	1708	地方	762	事	601	數據	577	些	559	錢	549	情況	487
一些事	情	1708
一些問	題	3362
一些單	位	67
一些困	難	148
一些地	方	762
一些女	生	68
一些幫	助	428
一些情	況	487
一些數	據	577
一些時	候	112
一些東	西	2467
一些機	型	17
一些行	業	251
一些訓	練	59
一亮	相	32
一人	得道	447	份	434	之下	366	傳虛	315	一半	166	一票	150	之力	104	一城	59	一隻	36	公司	34
一人一	半	166	票	150	城	59	隻	36	狗	33	間	23	刀	17	本	12	槍	12	邊	12
一人之	下	366	力	104
一人之下	萬人之上	444
一人之下萬	人之上	444
一人之下萬人	之上	444
一人之下萬人之	上	444
一人做	事一人當	29
一人做事	一人當	29
一人做事一	人當	29
一人做事一人	當	29
一人傳	虛	315
一人傳虛	萬人傳實	75
一人傳虛萬	人傳實	75
一人傳虛萬人	傳實	75
一人傳虛萬人傳	實	75
一人公	司	34
